barrio_code,barrio_name,latitude,longitude,demand_type,id,building_type
82,Fuentelarreina,4480722.566,436787.983,residential,0,yes
82,Fuentelarreina,4480724.36,436754.2922,residential,1,apartments
82,Fuentelarreina,4480626.212,437574.0838,residential,2,yes
82,Fuentelarreina,4480621.541,437516.3691,residential,3,yes
82,Fuentelarreina,4480684.485,437368.4326,residential,4,yes
82,Fuentelarreina,4480709.5,437303.0185,residential,5,yes
82,Fuentelarreina,4480719.517,437430.4871,residential,6,yes
82,Fuentelarreina,4480742.276,437160.3065,residential,7,yes
82,Fuentelarreina,4480729.268,437340.1032,residential,8,yes
82,Fuentelarreina,4480769.071,437414.3085,residential,9,yes
82,Fuentelarreina,4480808.158,437231.025,residential,10,yes
82,Fuentelarreina,4480797.72,437173.7739,residential,11,yes
82,Fuentelarreina,4480728.532,436783.5379,residential,12,apartments
82,Fuentelarreina,4480773.39,436994.9544,residential,13,hotel
82,Fuentelarreina,4480760.935,436927.1309,residential,14,yes
82,Fuentelarreina,4480764.39,437120.5852,residential,15,yes
82,Fuentelarreina,4480800.858,436896.0859,residential,16,yes
82,Fuentelarreina,4480785.01,436985.5934,residential,17,dormitory
82,Fuentelarreina,4480808.005,436994.4599,residential,18,yes
82,Fuentelarreina,4480869.339,437075.3735,residential,19,apartments
82,Fuentelarreina,4480806.362,437305.1424,residential,20,yes
82,Fuentelarreina,4480827.066,437273.2958,residential,21,apartments
82,Fuentelarreina,4480842.549,437150.6458,residential,22,yes
82,Fuentelarreina,4480835.806,437393.7105,residential,23,yes
82,Fuentelarreina,4480857.58,437229.5486,residential,24,yes
82,Fuentelarreina,4480899.707,437289.6976,residential,25,yes
82,Fuentelarreina,4480897.15,437372.7683,residential,26,yes
82,Fuentelarreina,4480911.714,437239.6117,residential,27,yes
82,Fuentelarreina,4480947.734,437098.1754,residential,28,yes
82,Fuentelarreina,4480986.119,436908.1029,residential,29,yes
82,Fuentelarreina,4481011.908,436983.8942,residential,30,yes
82,Fuentelarreina,4481018.717,437013.2387,residential,31,semidetached_house
82,Fuentelarreina,4481016.28,437022.4511,residential,32,semidetached_house
82,Fuentelarreina,4481014.834,436926.8211,residential,33,yes
82,Fuentelarreina,4481044.788,437042.6757,residential,34,semidetached_house
82,Fuentelarreina,4481056.19,437044.2969,residential,35,semidetached_house
82,Fuentelarreina,4480972.803,437230.7749,residential,36,apartments
82,Fuentelarreina,4481004.002,437337.661,residential,37,apartments
82,Fuentelarreina,4481038.68,437283.1473,residential,38,apartments
82,Fuentelarreina,4481046.425,437325.405,residential,39,apartments
82,Fuentelarreina,4482083.607,437635.4938,residential,40,yes
82,Fuentelarreina,4482178.753,437721.1829,residential,41,yes
82,Fuentelarreina,4481090.245,437326.2227,residential,42,apartments
82,Fuentelarreina,4481197.799,437205.4938,residential,43,yes
82,Fuentelarreina,4481245.966,437256.3898,residential,44,yes
82,Fuentelarreina,4481264.537,437226.5346,residential,45,yes
82,Fuentelarreina,4481887.226,437307.2897,residential,46,yes
82,Fuentelarreina,4481923.654,437448.7328,residential,47,yes
82,Fuentelarreina,4482175.611,437383.4192,residential,48,yes
82,Fuentelarreina,4482206.022,437400.4903,residential,49,yes
82,Fuentelarreina,4481638.652,436954.0494,residential,50,yes
82,Fuentelarreina,4481979.77,437008.2066,residential,51,yes
82,Fuentelarreina,4481987.151,437003.0895,residential,52,yes
82,Fuentelarreina,4482126.014,437831.4917,residential,53,yes
82,Fuentelarreina,4482175.839,437759.138,residential,54,yes
83,Penagrande,4480621.895,437849.9019,residential,55,yes
83,Penagrande,4480630.816,437851.7641,residential,56,yes
83,Penagrande,4480660.539,437981.1969,residential,57,yes
83,Penagrande,4480662.122,437961.6188,residential,58,yes
83,Penagrande,4480673.469,437934.4231,residential,59,yes
83,Penagrande,4480680.811,437978.3125,residential,60,yes
83,Penagrande,4480690.599,437953.9461,residential,61,yes
83,Penagrande,4480678.343,438395.3783,residential,62,yes
83,Penagrande,4480666.198,438487.7941,residential,63,yes
83,Penagrande,4480672.02,438496.1435,residential,64,yes
83,Penagrande,4480670.205,438470.7013,residential,65,yes
83,Penagrande,4480671.572,438472.3685,residential,66,yes
83,Penagrande,4480678.472,438525.0191,residential,67,yes
83,Penagrande,4480697.496,438455.3107,residential,68,yes
83,Penagrande,4480679.586,438305.7115,residential,69,apartments
83,Penagrande,4480686.931,438436.7033,residential,70,yes
83,Penagrande,4480699.841,438422.338,residential,71,yes
83,Penagrande,4480707.164,438429.1602,residential,72,yes
83,Penagrande,4480715.261,438428.2455,residential,73,yes
83,Penagrande,4480736.69,438375.0563,residential,74,yes
83,Penagrande,4480736.03,438416.1158,residential,75,yes
83,Penagrande,4480738.557,438428.1659,residential,76,yes
83,Penagrande,4480747.3,438418.9332,residential,77,yes
83,Penagrande,4480763.534,438356.409,residential,78,yes
83,Penagrande,4480707.868,438452.4037,residential,79,yes
83,Penagrande,4480710.668,438479.5381,residential,80,yes
83,Penagrande,4480715.862,438451.7974,residential,81,yes
83,Penagrande,4480711.136,438494.2875,residential,82,yes
83,Penagrande,4480757.04,438462.5306,residential,83,yes
83,Penagrande,4480778.797,438512.5179,residential,84,yes
83,Penagrande,4480771.02,438482.1997,residential,85,yes
83,Penagrande,4480817.035,438509.5483,residential,86,yes
83,Penagrande,4480812.531,438428.3334,residential,87,yes
83,Penagrande,4480816.063,438515.3832,residential,88,yes
83,Penagrande,4480772.785,438368.6954,residential,89,yes
83,Penagrande,4480781.476,438396.1961,residential,90,yes
83,Penagrande,4480779.288,438352.9483,residential,91,yes
83,Penagrande,4480801.774,438425.8972,residential,92,yes
83,Penagrande,4480806.628,438341.8909,residential,93,yes
83,Penagrande,4480808.112,438400.1422,residential,94,yes
83,Penagrande,4480814.71,438365.9546,residential,95,yes
83,Penagrande,4480819.951,438341.4605,residential,96,yes
83,Penagrande,4480832.66,438426.7717,residential,97,yes
83,Penagrande,4480842.667,438419.2425,residential,98,yes
83,Penagrande,4480823.729,438435.0734,residential,99,yes
